grammar	tier	parity	fix
css	IV-unknown	37/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 37/40, trunc=3, errTree=3, panics=0; previous CLEAN row was stale: in ratchet; C-recovery gate (stage-2 redwood)
csv	IV-perf	unmeasured	diagnostic scan 20260621T035630Z-206-inventory-telemetry: unmeasured (timeout external); scan metadata oom_killed=true, use as diagnostic evidence; previous CLEAN row was stale: in ratchet; wringer-csv-progress-baseline-20260623T163446Z confirms forward-progress forest_reduce_parent_end timeout on co2-concentration.csv, 107 parser progress rows, last reduce_symbol=16 parent_span=0..9647 with advancing tokens and zero stacks, pointing at forest reduce parent/materialization throughput; sampled full-integrity wringer 20260623 closed the baseline/stack2/firstdiff timeout plan and latest timeout progress is forest_reduce_visit_begin at iter=tokens 1831, token 7622..7632, frontier_len=1, work_len=49, reducer_visits=82, reduce_symbol=16, child_count=2, no_extras=true
cuda	IV-recovery?	21/40	ext=.cu,.cuh; faithful C error-cost version competition (see spec)
cue	IV-unknown	39/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 39/40, trunc=0, errTree=0, panics=0; previous CLEAN row was stale: in ratchet; C-recovery gate (stage-3 redwood)
cylc	IV-recovery?	unmeasured	ext=.cylc; faithful C error-cost version competition (see spec)
d	IV-recovery?	unmeasured	ext=.d; faithful C error-cost version competition (see spec)
dart	IV-recovery?	0/40	ext=.dart; faithful C error-cost version competition (see spec)
desktop	IV-perf	unmeasured	diagnostic scan 20260621T035630Z-206-inventory-telemetry: unmeasured (timeout external); scan metadata oom_killed=true, use as diagnostic evidence; previous CLEAN row was stale: in ratchet
devicetree	CLEAN	40/40	in ratchet
dhall	IV-unknown	15/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 15/40, trunc=0, errTree=0, panics=0; previous CLEAN row was stale: in ratchet; Unicode anonymous terminal display names normalized to C oracle
diff	IV-perf	unmeasured	diagnostic scan 20260621T035630Z-206-inventory-telemetry: unmeasured (timeout external); scan metadata oom_killed=true, use as diagnostic evidence; previous CLEAN row was stale: in ratchet
disassembly	IV-version	0/40	German-locale riscv objdump corpus the grammar doesn't model — 10/10 C-error (maple)
djot	IV-scanner?	unmeasured	ext=.dj,.djot; 0/40 with 39 truncations (node_limit persists at stack cap 2: 8.4KB file blows the node budget); markdown-class inline ambiguity — re-port stateful external scanner from pinned upstream; also IV-perf component (maple)
dockerfile	IV-recovery?	unmeasured	ext=Dockerfile,.dockerfile; faithful C error-cost version competition (see spec)
dot	IV-perf	unmeasured	diagnostic scan 20260621T035630Z-206-inventory-telemetry: unmeasured (timeout external); scan metadata oom_killed=true, use as diagnostic evidence; previous missing row was stale
doxygen	IV-unknown	20/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 20/40, trunc=20, errTree=11, panics=0; previous CLEAN row was stale: Doxygen whole-block comment ERROR root compatibility; Docker C-oracle parity verified 2026-06-11
dtd	IV-unknown	0/3	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 0/3, trunc=3, errTree=2, panics=0; previous CLEAN row was stale: tiny curated DTD corpus clean after C recovery election plus `%entity;` elementdecl recovery-shape normalization (verified 2026-06-11)
earthfile	IV-recovery?	0/40	ext=Earthfile; faithful C error-cost version competition (see spec)
ebnf	IV-recovery?	0/40	ext=.ebnf; faithful C error-cost version competition (see spec)
editorconfig	CLEAN	40/40	in ratchet
eds	IV-unknown	0/1	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 0/1, trunc=1, errTree=0, panics=0; previous CLEAN row was stale: in ratchet
eex	IV-unknown	21/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 21/40, trunc=0, errTree=0, panics=0; previous CLEAN row was stale: in ratchet
elisp	IV-perf	unmeasured	diagnostic scan 20260621T035630Z-206-inventory-telemetry: unmeasured (timeout external); scan metadata oom_killed=true, use as diagnostic evidence; previous CLEAN row was stale: in ratchet
elixir	IV-recovery	unmeasured	Elixir _newline_before_comment extra filtering lifted 0/40 to 9/40 (Docker C-oracle 2026-06-12); remaining 31 are dominated by Go ERROR/root fragmentation where C parses source clean (27 errTree), 3 no_stacks_alive truncations, plus one accepted span-shape residual (engine.ex body starts at 3676 vs C 3667). Representative smart_engine_test.exs: C closes fn -> body as anonymous_function while Go treats end as identifier and cascades into quoted-string recovery.
elm	IV-unknown	0/8	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 0/8, trunc=0, errTree=0, panics=0; previous CLEAN row was stale: Elm external lex-state table plus repeatable zero-width _virtual_end_section close clear Deps.elm without broad C recovery (verified 2026-06-11)
elsa	IV-recovery?	0/0	ext=.lc; faithful C error-cost version competition (see spec)
embedded_template	CLEAN	40/40	in ratchet
enforce	IV-unknown	28/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 28/40, trunc=0, errTree=2, panics=0; previous CLEAN row was stale: enforce const int formal-parameter compatibility normalization clears declMethod.txt (verified 2026-06-11)
erlang	IV-recovery	unmeasured	binary_SUITE memory-budget trunc; bif_SUITE replacement-clause ambiguity-selection cleared 2026-06-12
facility	IV-unknown	1/4	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 1/4, trunc=3, errTree=1, panics=0; previous CLEAN row was stale: locked real-corpus parity clean (verified 2026-06-11)
faust	IV-unknown	39/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 39/40, trunc=0, errTree=0, panics=0; previous CLEAN row was stale: in ratchet
fennel	IV-recovery?	15/40	ext=.fnl; faithful C error-cost version competition (see spec)
fidl	IV-unknown	37/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 37/40, trunc=1, errTree=0, panics=0; previous CLEAN row was stale: versioned layout modifiers normalized to C oracle recovery shape
firrtl	IV-recovery?	12/27	ext=.fir; faithful C error-cost version competition (see spec)
fish	IV-perf	unmeasured	diagnostic scan 20260621T035630Z-206-inventory-telemetry: unmeasured (timeout external); scan metadata oom_killed=true, use as diagnostic evidence; previous CLEAN row was stale: in ratchet
foam	CLEAN	40/40	in ratchet
forth	IV-perf	unmeasured	diagnostic scan 20260621T035630Z-206-inventory-telemetry: unmeasured (timeout external); scan metadata oom_killed=true, use as diagnostic evidence; previous CLEAN row was stale: in ratchet; cap=2 plus root-leading-trivia normalization and missing end_definition recovery for unterminated word_definition (verified 2026-06-11)
fortran	CLEAN	40/40	in ratchet
fsharp	IV-perf	unmeasured	timeout-or-fail at 1200s canonical budget
gdscript	IV-unknown	39/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 39/40, trunc=0, errTree=0, panics=0; previous CLEAN row was stale: repeatable zero-width _dedent in DFA external loop guard; scanner token order aligned with upstream C (verified 2026-06-11)
git_config	CLEAN	7/7	in ratchet
git_rebase	CLEAN	40/40	in ratchet
gitattributes	IV-unknown	9/10	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 9/10, trunc=0, errTree=0, panics=0; previous CLEAN row was stale: in ratchet
gitcommit	CLEAN	13/13	in ratchet
gitignore	CLEAN	40/40	in ratchet
gleam	IV-unknown	39/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 39/40, trunc=0, errTree=0, panics=0; previous CLEAN row was stale: in ratchet
glsl	IV-recovery	7/40	faithful C error-cost version competition (see spec)
gn	CLEAN	40/40	in ratchet; scanner aligned with upstream C (maple)
go	IV-unknown	25/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 25/40, trunc=0, errTree=0, panics=0; previous CLEAN row was stale: Go top-level recovery now replaces signature-only function fragments and recursively recovers for-loop bodies (verified 2026-06-11)
godot_resource	IV-perf	unmeasured	diagnostic scan 20260621T035630Z-206-inventory-telemetry: unmeasured (timeout external); scan metadata oom_killed=true, use as diagnostic evidence; previous CLEAN row was stale: in ratchet; scanner aligned with upstream C (maple)
gomod	CLEAN	40/40	in ratchet
graphql	IV-unknown	0/1	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 0/1, trunc=0, errTree=1, panics=0; previous CLEAN row was stale: GraphQL C-recovery triple-quote/block-string handling verified 2026-06-11
groovy	IV-recovery	6/40	faithful C error-cost version competition (see spec)
hack	IV-unknown	38/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 38/40, trunc=1, errTree=2, panics=0; previous CLEAN row was stale: in ratchet; C-recovery gate (stage-2 redwood)
hare	IV-recovery	15/40	faithful C error-cost version competition (see spec)
haskell	IV-scanner	unmeasured	layout scanner, deep port needed (maple)
haxe	IV-recovery	10/40	pins at upstream HEAD; C at same pin parses corpus clean — runtime fidelity, not version (oak 2026-06-10)
hcl	IV-perf	unmeasured	diagnostic scan 20260621T035630Z-206-inventory-telemetry: unmeasured (timeout external); scan metadata oom_killed=true, use as diagnostic evidence; previous CLEAN row was stale: in ratchet
heex	IV-unknown	6/7	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 6/7, trunc=0, errTree=0, panics=0; previous CLEAN row was stale: in ratchet
hlsl	IV-unknown	35/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 35/40, trunc=2, errTree=3, panics=0; previous CLEAN row was stale: C recovery election plus HLSL result-shape compatibility normalization clears default cgo oracle gate (verified 2026-06-12)
html	IV-recovery	0/40	faithful C error-cost version competition (see spec)
http	IV-unknown	10/11	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 10/11, trunc=0, errTree=0, panics=0; previous CLEAN row was stale: full available HTTP corpus parity in Docker after section-fold compatibility fix (2026-06-11)
hurl	IV-recovery	14/40	file, trailing error-root wrapper normalization cleared one exact C-oracle residual; remaining 26 are root recovery/child-count shape with 1 no_stacks_alive truncation
hyprlang	IV-unknown	1/2	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 1/2, trunc=1, errTree=1, panics=0; previous CLEAN row was stale: in ratchet; C-recovery gate keeps hyprland.conf under configuration root and hyprlang boolean assignment value normalization matches C boolean literal shape (verified 2026-06-12)
ini	IV-unknown	9/11	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 9/11, trunc=1, errTree=1, panics=0; previous CLEAN row was stale: mypy-style continuation recovery normalized for both residual witnesses; bounded cgo oracle parity medianRatio=3.98x, verified 2026-06-12
janet	CLEAN	40/40	in ratchet
java	IV-unknown	22/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 22/40, trunc=0, errTree=0, panics=0; previous CLEAN row was stale: in ratchet; java full-parse stack cap 14
javascript	CLEAN	40/40	in ratchet
jinja2	IV-recovery	3/40	faithful C error-cost version competition (see spec)
jq	IV-unknown	7/8	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 7/8, trunc=1, errTree=0, panics=0; previous CLEAN row was stale: in ratchet
jsdoc	IV-unknown	13/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 13/40, trunc=27, errTree=0, panics=0; previous CLEAN row was stale: in ratchet; C-recovery gate (stage-2 redwood)
json	CLEAN	40/40	in ratchet
json5	CLEAN	40/40	in ratchet
jsonnet	IV-recovery?	39/40	canonical-frame demotion (one-time reset)
julia	IV-recovery	unmeasured	Julia macro argument juxtaposition, single-row index vector, bracket comprehension, and trailing-comma tuple recovery normalization clear reinfer.jl, verify.jl, and optimize.jl; remaining residuals are broad ERROR-root recovery divergences and 2 truncations
just	IV-unknown	2/8	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 2/8, trunc=1, errTree=1, panics=0; previous CLEAN row was stale: in ratchet; C-recovery gate plus just top-level line-break span normalization
kconfig	IV-recovery?	18/40	ext=Kconfig; faithful C error-cost version competition (see spec)
kdl	IV-recovery	11/40	pins at upstream HEAD; C at same pin parses corpus clean — runtime fidelity, not version (oak 2026-06-10)
kotlin	IV-unknown	22/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 22/40, trunc=7, errTree=18, panics=0; previous CLEAN row was stale: Kotlin C-recovery election preserves ReactorPlaysScrabble.kt's class/member envelope; recovered generic call suffix and direct parenthesized type-argument normalizers clear the remaining local call shapes. D-tier C-oracle parity verified 2026-06-13 with no divergences, truncation, error trees, or panics.
ledger	IV-unknown	2/4	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 2/4, trunc=1, errTree=1, panics=0; previous CLEAN row was stale: in ratchet; ledger date-suffix and year-directive recovery normalization
less	IV-recovery?	10/40	faithful C error-cost version competition (see spec)
linkerscript	IV-recovery	1/40	C-recovery plus Linkerscript-local result normalization lifts baseline 1/40 to 21/40 with a strict subset of divergers and no truncation/panic (Docker 2026-06-14); residuals are root/section child-count and nested ERROR-vs-call recovery shape differences.
liquid	IV-recovery?	11/36	faithful C error-cost version competition (see spec)
llvm	CLEAN	40/40	in ratchet
lua	CLEAN	40/40	in ratchet; scanner.c port + DFA routing (maple 2026-06-10)
luau	IV-perf	unmeasured	diagnostic scan 20260621T035630Z-206-inventory-telemetry: unmeasured (timeout external); scan metadata oom_killed=true, use as diagnostic evidence; previous CLEAN row was stale: C-recovery gate localizes unsupported class syntax; recovered `end` identifier shape and Luau table-constructor iteration budget match C oracle (verified 2026-06-12)
make	IV-recovery?	unmeasured	ext=Makefile,.mk; C-recovery gate tried and REVERTED (parity-neutral 19/20, runs 20260610T090208Z/091230Z redwood-wave1/1b): witness Makefile (129KB, git's) root ERROR cc go=5029 vs makefile c=2114 — signature identical with gate on/off, so the divergence is decided before/outside the gated recover path (retry full-parse or pre-error fragmentation); needs witness-level diagnosis, not more gate work
markdown	IV-unknown	0/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 0/40, trunc=0, errTree=0, panics=0; previous CLEAN row was stale: in ratchet; verified after willow shape fixes
markdown_inline	IV-perf	unmeasured	diagnostic scan 20260621T035630Z-206-inventory-telemetry: unmeasured (timeout external); scan metadata oom_killed=true, use as diagnostic evidence; previous CLEAN row was stale: Single-tilde link destinations stay literal so docs/src/index.md no longer truncates; Docker D-tier C-oracle parity verified 2026-06-13
matlab	IV-recovery?	4/40	faithful C error-cost version competition (see spec)
mermaid	IV-recovery?	0/40	faithful C error-cost version competition (see spec)
meson	IV-recovery?	2/40	ext=meson.build; faithful C error-cost version competition (see spec)
mojo	IV-recovery?	29/40	post-repin residual
move	IV-recovery?	14/40	post-repo-switch residual
nginx	IV-unknown	0/1	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 0/1, trunc=0, errTree=0, panics=0; previous CLEAN row was stale: in ratchet
nickel	CLEAN	40/40	in ratchet
nim	IV-recovery?	unmeasured	faithful C error-cost version competition (see spec)
ninja	IV-unknown	3/5	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 3/5, trunc=2, errTree=2, panics=0; previous missing row was stale
nix	IV-perf	unmeasured	diagnostic scan 20260621T035630Z-206-inventory-telemetry: unmeasured (timeout external); scan metadata oom_killed=true, use as diagnostic evidence; previous CLEAN row was stale: in ratchet
norg	IV-scanner	0/2	mixed scanner/version, 2-file corpus (maple); sampled full-integrity wringer 20260623 on cheatsheet.norg shows nonmatch with goStop=no_stacks_alive, Go document 0:381 vs C 0:5382, no errors, high baseline maxStacks 164, stack2 lowers observed max but still nonmatches, so scanner row has truncation/node-budget overlay
nushell	IV-recovery?	7/40	faithful C error-cost version competition (see spec)
objc	IV-recovery	unmeasured	ObjC-local struct sized_type_specifier, @encode type_identifier, and function-pointer declaration-as-expression normalizations lift default cap-2 C-oracle D-tier from 22/40 to 25/40 with trunc 0, panics 0 (Docker 2026-06-14), clearing NSArray+GNUstepBase.m, NSPropertyList+GNUstepBase.m, and GSObjCRuntime.m. Residuals are compound/root recovery shape, macro-call declaration-as-expression, cast-vs-binary expression shape, comma-expression arity, and remaining parameter_list/declaration shape contexts.
ocaml	IV-unknown	12/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 12/40, trunc=0, errTree=0, panics=0; previous CLEAN row was stale: in ratchet
odin	IV-recovery?	1/40	faithful C error-cost version competition (see spec)
org	IV-recovery?	1/6	faithful C error-cost version competition (see spec)
pascal	IV-recovery?	0/40	faithful C error-cost version competition (see spec)
pem	CLEAN	40/40	in ratchet
perl	IV-recovery?	unmeasured	faithful C error-cost version competition (see spec)
php	IV-unknown	36/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 36/40, trunc=4, errTree=4, panics=0; previous CLEAN row was stale: in ratchet
pkl	CLEAN	40/40	in ratchet; verified after willow shape fixes
powershell	IV-recovery?	22/40	PowerShell invocation target path_command_name plus enum keyword span compatibility clears 4 files with zero new divergers; remaining gaps are recovery/root span and command/statement-list shape
prisma	CLEAN	40/40	in ratchet
prolog	IV-recovery?	4/40	faithful C error-cost version competition (see spec)
promql	IV-unknown	0/4	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 0/4, trunc=4, errTree=4, panics=0; previous CLEAN row was stale: in ratchet; verified strict real-corpus 25/25 and direct C 20/20 after preserving PromQL query pass-through reductions
properties	IV-perf	unmeasured	diagnostic scan 20260621T035630Z-206-inventory-telemetry: unmeasured (timeout external); scan metadata oom_killed=true, use as diagnostic evidence; previous CLEAN row was stale: in ratchet
proto	IV-recovery?	24/40	faithful C error-cost version competition clears unittest_custom_options_proto3.proto with strict subset/no new divergers; remains Tier IV because residual parse-incorrect errTree files remain
pug	IV-recovery?	0/40	faithful C error-cost version competition (see spec)
puppet	CLEAN	40/40	in ratchet
purescript	IV-recovery?	1/40	faithful C error-cost version competition (see spec)
python	IV-unknown	6/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 6/40, trunc=0, errTree=0, panics=0; previous CLEAN row was stale: in ratchet
ql	CLEAN	40/40	in ratchet; verified after willow shape fixes
r	CLEAN	40/40	in ratchet; verified after willow shape fixes
racket	IV-unknown	2/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 2/40, trunc=0, errTree=36, panics=0; previous CLEAN row was stale: in ratchet
regex	CLEAN	1/1	scan-clean in 20260621T035630Z-206-inventory-telemetry: parityMatch=1/1, diverge=0, trunc=0, errTree=0, panics=0; previous IV-perf row retired.
rego	IV-recovery?	7/40	faithful C error-cost version competition (see spec)
requirements	IV-unknown	8/9	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 8/9, trunc=0, errTree=0, panics=0; previous CLEAN row was stale: in ratchet; first IV-recovery clear via faithful C-recovery port (errorCostCompetitionLanguage gate)
rescript	IV-recovery?	24/40	Rescript value_identifier_path alias normalization cleared clean-root shape residuals; remaining 11/40 are Go root ERROR vs C source_file with trunc=0/panics=0, requiring faithful C error-cost version competition
robot	IV-recovery?	28/40	Robot escaped nested variable normalization cleared one C error-shape residual; remaining 11/40 require faithful C error-cost version competition (see spec)
ron	CLEAN	40/40	in ratchet
rst	IV-perf	unmeasured	timeout-or-fail at 1200s canonical budget
ruby	CLEAN	40/40	in ratchet; inline Ruby when-then body StartByte normalized to C oracle
rust	IV-recovery?	11/40	faithful C error-cost version competition (see spec)
scala	IV-recovery?	5/40	faithful C error-cost version competition (see spec)
scheme	IV-perf	23/40	Available Scheme gates clear 28/28 after merge cap and C recovery cost competition, but the intended .scm/.ss surface includes mats/oop.ss; Docker C-oracle diagnostic on 2026-06-12 still shows Go iteration_limit truncation at byte 3045 vs C full parse with recovery errors, so Scheme remains Tier IV under the hard parity invariant.
scss	IV-recovery?	6/40	faithful C error-cost version competition (see spec)
smithy	IV-unknown	34/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 34/40, trunc=0, errTree=0, panics=0; previous CLEAN row was stale: in ratchet
solidity	IV-unknown	6/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 6/40, trunc=0, errTree=0, panics=0; previous CLEAN row was stale: Solidity-only call/type-cast/new-expression compatibility pass promoted; Docker real-corpus strict parity verified 2026-06-11
sparql	CLEAN	40/40	in ratchet
sql	IV-recovery?	8/40	faithful C error-cost version competition (see spec)
squirrel	CLEAN	40/40	in ratchet
ssh_config	IV-unknown	1/2	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 1/2, trunc=1, errTree=0, panics=0; previous CLEAN row was stale: C-recovery gate promoted; tiny lock-filtered corpus clean (verified 2026-06-11)
starlark	IV-unknown	34/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 34/40, trunc=0, errTree=1, panics=0; previous CLEAN row was stale: in ratchet
svelte	IV-unknown	8/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 8/40, trunc=2, errTree=0, panics=0; previous CLEAN row was stale: in ratchet; recovered raw-text ERROR compatibility normalized to C oracle (verified 2026-06-11)
swift	IV-recovery?	0/40	faithful C error-cost version competition (see spec)
tablegen	CLEAN	40/40	in ratchet
tcl	IV-recovery?	unmeasured	faithful C error-cost version competition (see spec)
teal	IV-recovery?	8/40	faithful C error-cost version competition (see spec)
templ	IV-recovery?	31/40	dangling quote tag_start attribute compatibility normalization cleared the last local shape residual; remaining 5/40 are broad root ERROR recovery cases; Docker D-tier verified 2026-06-13 with trunc=0 panics=0
textproto	IV-perf	unmeasured	diagnostic scan 20260621T035630Z-206-inventory-telemetry: unmeasured (timeout external); scan metadata oom_killed=true, use as diagnostic evidence; previous CLEAN row was stale: in ratchet
thrift	CLEAN	40/40	in ratchet
